subject_id,unit_type,segment_kind,physicsKind,pendulum_E_J,pendulum_T_sec,pendulum_regime,total_time_T,show_T,fade_T,hide_T,total_time_sec,show_sec,fade_sec,hide_sec,w_max_deg,theta_actual_deg,theta_estimated_deg,delta_theta_deg,abs_delta_theta_deg,theta_actual_rad,theta_estimated_rad,delta_theta_rad,abs_delta_theta_rad,rt_estimate_sec,source_file,E_level,E_bin,E_bin_label,rt_outlier,subject_sensitivity_flag
0002,pendulumStimulus,block,pendulum,53.40999999999889,5.235252547606952,oscillation,1.196416441763728,1.0722581525333226,0.0286519128993242,0.0955063763310809,6.263542224742401,5.6135422247424005,0.15,0.5,111.25380918535794,-58.38903035366612,-43.07405891603047,15.314971437635656,15.314971437635656,-1.0190808267183828,-0.7517841502827513,0.2672966764356316,0.2672966764356316,1.9645999999046329,experiment_data_subject0002.csv,53.41,1,中,False,False
0002,pendulumStimulus,block,pendulum,53.410000000031445,5.235252547608416,oscillation,1.4371174803869218,1.3129591911565512,0.0286519128993162,0.0955063763310542,7.523672950408221,6.873672950408221,0.15,0.5,111.253809185409,0.1222199485384722,-29.576611973176647,-29.698831921715115,29.698831921715115,0.0021331405136143,-0.5162092605167092,-0.5183424010303236,0.5183424010303236,1.8563000001907348,experiment_data_subject0002.csv,53.41,1,中,False,False
0002,pendulumStimulus,block,pendulum,53.409999999974175,5.235252547605838,oscillation,1.4950112152779509,1.3708529260475188,0.0286519128993303,0.0955063763311013,7.826761273483191,7.176761273483191,0.15,0.5,111.25380918531916,-39.60999415367407,-31.076713902576948,8.533280251097118,8.533280251097118,-0.6913248146773172,-0.5423909783002641,0.1489338363770531,0.1489338363770531,2.133,experiment_data_subject0002.csv,53.41,1,中,False,False
0002,pendulumStimulus,block,pendulum,53.40999999995992,5.235252547605197,oscillation,1.1517591962525804,1.0276009070221337,0.0286519128993339,0.095506376331113,6.029750266409035,5.379750266409035,0.15,0.5,111.25380918529682,57.6978301622319,57.140721431872535,-0.5571087303593646,0.5571087303593646,1.0070171075874406,0.9972937259510644,-0.0097233816363762,0.0097233816363762,2.264,experiment_data_subject0002.csv,53.41,1,中,False,False
0002,pendulumStimulus,block,pendulum,53.41000000003845,5.235252547608733,oscillation,2.032164538226025,1.9080062489956615,0.0286519128993145,0.0955063763310485,10.63889457590792,9.98889457590792,0.15,0.5,111.25380918542,74.68020155052079,49.89393266800285,-24.786268882517945,24.78626888251796,1.3034154031095622,0.8708134018250084,-0.4326020012845537,0.4326020012845539,2.026799999713898,experiment_data_subject0002.csv,53.41,1,中,False,False
0002,pendulumStimulus,block,pendulum,62.23000000000641,5.732602578907544,oscillation,1.601877950451183,1.488491405500099,0.0261661257579424,0.0872204191931415,9.182929669851584,8.532929669851583,0.15,0.5,125.97980059748582,-76.8066241472845,-60.28302655022508,16.523597597059414,16.523597597059414,-1.3405284787118965,-1.0521372963685864,0.28839118234331,0.28839118234331,1.6645999999046326,experiment_data_subject0002.csv,62.23,2,高,False,False
0002,pendulumStimulus,block,pendulum,62.22999999999972,5.732602578907063,oscillation,2.0070208384123123,1.8936342934612185,0.0261661257579446,0.0872204191931488,11.505452834202636,10.855452834202636,0.15,0.5,125.9798005974737,-22.712407263271125,-26.290823311676668,-3.5784160484055416,3.5784160484055416,-0.3964062877979556,-0.4588614298488371,-0.0624551420508814,0.0624551420508814,1.612400000095367,experiment_data_subject0002.csv,62.23,2,高,False,False
0002,pendulumStimulus,block,pendulum,62.22999999999155,5.732602578906477,oscillation,1.7394209532931986,1.6260344083420932,0.0261661257579473,0.0872204191931577,9.971409042652551,9.321409042652553,0.15,0.5,125.97980059745896,-67.03900799069511,-51.00114971499745,16.03785827569766,16.03785827569766,-1.1700514167084175,-0.8901379848292731,0.2799134318791446,0.2799134318791446,4.075799999713897,experiment_data_subject0002.csv,62.23,2,高,False,False
0002,pendulumStimulus,block,pendulum,62.22999999998352,5.732602578905904,oscillation,1.907576380384033,1.7941898354329169,0.0261661257579499,0.0872204191931664,10.9353772776495,10.285377277649498,0.15,0.5,125.97980059744444,4.132482159621666,13.97533041127546,9.842848251653797,9.842848251653797,0.0721254199653239,0.24391552973085,0.1717901097655261,0.1717901097655261,1.7604000000953677,experiment_data_subject0002.csv,62.23,2,高,False,False
0002,pendulumStimulus,block,pendulum,62.23000000005212,5.732602578910818,oscillation,1.9510487395737,1.8376621946226803,0.0261661257579275,0.0872204191930916,11.184587036060892,10.534587036060891,0.15,0.5,125.97980059756831,69.04159582280889,56.1048920069183,-12.936703815890588,12.936703815890588,1.2050031679391786,0.9792150919965736,-0.225788075942605,0.225788075942605,2.3508999996185302,experiment_data_subject0002.csv,62.23,2,高,False,False
