subject_id,unit_type,segment_kind,physicsKind,pendulum_E_J,pendulum_T_sec,pendulum_regime,total_time_T,show_T,fade_T,hide_T,total_time_sec,show_sec,fade_sec,hide_sec,w_max_deg,theta_actual_deg,theta_estimated_deg,delta_theta_deg,abs_delta_theta_deg,theta_actual_rad,theta_estimated_rad,delta_theta_rad,abs_delta_theta_rad,rt_estimate_sec
0010,pendulumPractice,practice,pendulum,40.18000000004125,4.7655393035633296,oscillation,1.4405975329492,1.304201637627557,0.03147597584345611,0.10491991947818702,6.865224163885782,6.2152241638857815,0.15,0.5,91.43254373762682,1.2163773949628207,91.32284586273471,90.10646846777189,90.10646846777189,0.021229790488932712,1.5938843425960023,1.5726545521070696,1.5726545521070696,43.45489999999991
0010,pendulumStimulus,practice,pendulum,40.179999999995886,4.765539303562042,oscillation,1.9067573528073858,1.7703614574857056,0.031475975843464614,0.10491991947821537,9.086727107159511,8.436727107159511,0.15,0.5,91.4325437375605,58.168832724547805,90.15626357971567,31.987430855167858,31.987430855167858,1.015237653085183,1.5735236407618876,0.5582859876767046,0.5582859876767046,34.68219999999995
0010,pendulumStimulus,practice,pendulum,40.17999999997881,4.765539303561558,oscillation,1.52561545388664,1.389219558564946,0.031475975843467806,0.10491991947822603,7.270380407617688,6.620380407617688,0.15,0.5,91.43254373753554,43.305958542232325,-52.65961184189429,-95.96557038412661,95.96557038412661,0.7558315622941179,-0.919083609463251,-1.6749151717573687,1.6749151717573687,4.4169000000001395
0010,pendulumStimulus,practice,pendulum,40.17999999999049,4.765539303561889,oscillation,1.5856567867368632,1.4492608914151788,0.03147597584346562,0.10491991947821874,7.556509739154174,6.906509739154173,0.15,0.5,91.43254373755262,54.42296463900553,-6.2089011854538,-60.631865824459325,60.631865824459325,0.9498599216470935,-0.10836576861714788,-1.0582256902642415,1.0582256902642415,7.193199999999954
0010,pendulumStimulus,practice,pendulum,40.17999999999668,4.765539303562065,oscillation,1.5237968186184887,1.3874009232968092,0.03147597584346446,0.10491991947821487,7.261713629769242,6.611713629769242,0.15,0.5,91.43254373756164,9.735203872324506,-58.971978588853915,-68.70718246117842,68.70718246117842,0.1699113609249643,-1.0292551927911002,-1.1991665537160645,1.1991665537160645,4.002800000000047
0010,pendulumStimulus,practice,pendulum,40.179999999974115,4.7655393035614235,oscillation,1.9153367783211477,1.77894088299945,0.031475975843468694,0.10491991947822898,9.127612696646143,8.477612696646142,0.15,0.5,91.43254373752866,-24.976223473508554,46.981011540331224,71.95723501383979,71.95723501383978,-0.435917334326619,0.8199733372962327,1.255890671622852,1.2558906716228515,6.05740000000014
0010,pendulumPractice,block,pendulum,3.430000000001515,4.059199382272324,oscillation,1.5402007292554647,1.3800706299953163,0.036953099829265,0.12317699943088334,6.251981848769165,5.601981848769165,0.15,0.5,24.146847996507805,16.347677320913725,1.7478191810684263,-14.5998581398453,14.5998581398453,0.2853207943035502,0.030505199439154976,-0.2548155948643952,0.2548155948643952,7.155899999999907
0010,pendulumStimulus,block,pendulum,3.430000000012738,4.059199382272475,oscillation,2.1056680047017395,1.945537905441597,0.036953099829263626,0.12317699943087876,8.547326263956215,7.897326263956215,0.15,0.5,24.146847996547905,-3.6503995971382692,9.873193854802537,13.523593451940807,13.523593451940808,-0.06371149198353737,0.17231974045397522,0.2360312324375126,0.23603123243751262,3.7236999999999534
0010,pendulumStimulus,block,pendulum,3.4300000000012054,4.05919938227232,oscillation,1.9001756323100003,1.7400455330498517,0.036953099829265035,0.12317699943088345,7.713191752881668,7.063191752881668,0.15,0.5,24.1468479965067,-8.434671335527932,13.40413204222191,21.83880337774984,21.838803377749844,-0.1472127861285498,0.23394623750884389,0.3811590236373936,0.38115902363739373,4.221199999999953
0010,pendulumStimulus,block,pendulum,3.4299999999938575,4.0591993822722205,oscillation,1.9165391427063356,1.7564090434461832,0.03695309982926594,0.12317699943088646,7.779614504174089,7.129614504174088,0.15,0.5,24.14684799648043,3.77138449233609,10.29104695176264,6.519662459426549,6.519662459426549,0.06582307674991962,0.1796126527855841,0.11378957603566449,0.11378957603566449,3.379899999999907
